Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
360,0,3,14.5,8,2,69.55,0.0,1.0,0.0,0.0,1.0
361,1,2,24.0,1,1,37.0042,1.0,0.0,1.0,0.0,0.0
362,1,2,31.0,0,0,21.0,1.0,0.0,0.0,0.0,1.0
363,0,3,27.0,0,0,8.6625,0.0,1.0,0.0,0.0,1.0
364,1,1,25.0,1,0,55.4417,1.0,0.0,1.0,0.0,0.0
365,1,3,30.0,1,9,69.55,1.0,0.0,0.0,0.0,1.0
366,0,3,30.0,1,0,14.4583,0.0,1.0,1.0,0.0,0.0
367,1,3,22.0,0,0,39.6875,1.0,0.0,0.0,0.0,1.0
368,1,1,45.0,0,1,59.4,1.0,0.0,1.0,0.0,0.0
369,0,2,29.0,0,0,13.8583,0.0,1.0,1.0,0.0,0.0
370,0,2,21.0,1,0,11.5,0.0,1.0,0.0,0.0,1.0
371,1,1,31.0,0,0,134.5,1.0,0.0,1.0,0.0,0.0
372,0,1,49.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
373,0,2,44.0,0,0,13.0,0.0,1.0,0.0,0.0,1.0
374,1,1,54.0,1,1,81.8583,1.0,0.0,0.0,0.0,1.0
375,1,1,45.0,0,0,262375.0,1.0,0.0,1.0,0.0,0.0
376,1,3,22.0,2,0,8.6625,1.0,0.0,0.0,0.0,1.0
377,0,2,21.0,0,0,11.5,0.0,1.0,0.0,0.0,1.0
378,0,1,55.0,0,0,50.0,0.0,1.0,0.0,0.0,1.0
379,0,3,5.0,4,2,31.3875,0.0,1.0,0.0,0.0,1.0
380,0,3,30.0,0,0,7.75,0.0,1.0,0.0,1.0,0.0
381,0,3,26.0,0,0,7.8792,0.0,1.0,0.0,1.0,0.0
382,1,3,30.0,0,0,14.5,1.0,0.0,0.0,0.0,1.0
383,1,3,19.0,1,0,16.1,1.0,0.0,0.0,0.0,1.0
384,0,2,30.0,0,0,12875.0,0.0,1.0,0.0,0.0,1.0
385,1,2,24.0,1,2,65.0,1.0,0.0,0.0,0.0,1.0
386,0,3,24.0,0,0,7775.0,0.0,1.0,0.0,0.0,1.0
387,0,2,57.0,0,0,13.0,0.0,1.0,0.0,0.0,1.0
388,0,3,21.0,0,0,7.75,0.0,1.0,0.0,1.0,0.0
389,0,3,6.0,3,1,21075.0,0.0,1.0,0.0,0.0,1.0
390,0,1,23.0,0,0,93.5,0.0,1.0,0.0,0.0,1.0
391,1,1,51.0,0,1,39.4,1.0,0.0,0.0,0.0,1.0
392,0,3,13.0,0,2,20.25,0.0,1.0,0.0,0.0,1.0
393,0,2,47.0,0,0,10.5,0.0,1.0,0.0,0.0,1.0
394,0,3,29.0,3,1,22025.0,0.0,1.0,0.0,0.0,1.0
395,1,1,18.0,1,0,60.0,1.0,0.0,0.0,0.0,1.0
396,0,3,24.0,0,0,7.25,0.0,1.0,0.0,1.0,0.0
397,1,1,48.0,1,1,79.2,1.0,0.0,1.0,0.0,0.0
398,0,3,22.0,0,0,7775.0,0.0,1.0,0.0,0.0,1.0
399,0,3,31.0,0,0,7.7333,0.0,1.0,0.0,1.0,0.0
400,1,1,30.0,0,0,164.8667,1.0,0.0,0.0,0.0,1.0
401,0,2,38.0,1,0,21.0,0.0,1.0,0.0,0.0,1.0
402,1,1,22.0,0,1,59.4,1.0,0.0,1.0,0.0,0.0
403,0,1,17.0,0,0,47.1,0.0,1.0,0.0,0.0,1.0
404,0,1,43.0,1,0,27.7208,0.0,1.0,1.0,0.0,0.0
405,0,2,20.0,0,0,13.8625,0.0,1.0,1.0,0.0,0.0
406,0,2,23.0,1,0,10.5,0.0,1.0,0.0,0.0,1.0
407,0,1,50.0,1,1,211.5,0.0,1.0,1.0,0.0,0.0
408,1,3,30.0,0,0,7.7208,1.0,0.0,0.0,1.0,0.0
409,1,3,3.0,1,1,13775.0,1.0,0.0,0.0,0.0,1.0
410,1,3,30.0,0,0,7.75,1.0,0.0,0.0,1.0,0.0
411,1,1,37.0,1,0,90.0,1.0,0.0,0.0,1.0,0.0
412,1,3,28.0,0,0,7775.0,1.0,0.0,0.0,0.0,1.0
413,0,3,30.0,0,0,8.05,0.0,1.0,0.0,0.0,1.0
414,1,1,39.0,0,0,108.9,1.0,0.0,1.0,0.0,0.0
415,0,3,38.5,0,0,7.25,0.0,1.0,0.0,0.0,1.0
416,0,3,30.0,0,0,8.05,0.0,1.0,0.0,0.0,1.0
417,0,3,30.0,1,1,22.3583,0.0,1.0,0.0,0.0,1.0
